stop_id,stop_name,stop_lat,stop_lon
700000000237,Castle Buildings,0,0
700000017474,Stormont Sports Ground,0,0
700000000243,Craigantlet Buildings,0,0
700000000867,Stoney Road,0,0
700000000917,Comber Road,0,0
700000000921,Ulster Hospital,0,0
700000000241,Dundonald House,0,0
700000000863,Netherleigh Park,0,0
700000000859,Castlehill Park,0,0
700000000907,Stormont,0,0
700000000909,Summerhill Avenue,0,0
700000000911,Rosepark,0,0
700000000913,Dundonald House,0,0
700000000923,Comber Road,0,0
700000000927,Ardcarn,0,0
700000000929,Rosepark,0,0
700000000931,Summerhill Avenue,0,0
700000000935,Stormont,0,0
700000000855,Castlehill Road,0,0
700000000857,Campbell College Grounds,0,0
700000000861,Netherleigh Park,0,0
700000000255,Castlehill,0,0
700000000257,Massey Green,0,0
700000000259,Old Holywood Road,0,0
700000000261,Schomberg Avenue,0,0
700000000263,Campbell College,0,0
700000000265,Belmont Drive,0,0
700000000267,Strathearn Court,0,0
700000000269,Belmont Primary School,0,0
700000000271,Belmont Park,0,0
700000000273,Edenville Crescent,0,0
700000000275,Sydenham Drive,0,0
700000000251,Massey Avenue Gates,0,0
700000000253,Massey Avenue,0,0
700000000239,Sports Ground,0,0
700000000245,Castle Buildings,0,0
700000000247,Dept of Agriculture,0,0
700000000249,Parliament Buildings,0,0
700000015369,Ballybeen Enler Centre,0,0
700000001694,Dungoyne Park,0,0
700000001695,Craigleith Drive,0,0
700000001696,Cairnsmore Avenue,0,0
700000001697,Ballybeen Culross Drive,0,0
700000001698,Ballybeen Cairnsmore Avenue,0,0
700000001699,Ardmore Avenue,0,0
700000001700,Beauly Drive,0,0
700000001701,Gleneagles Gardens,0,0
700000001702,Ballybeen Rank Road,0,0
700000001703,Inchmarnock Drive,0,0
700000001704,Drumadoon Drive,0,0
700000001692,Davarr Avenue,0,0
700000016211,Robbs Road,0,0
700000016011,Dundonald Park & Ride,0,0
700000002415,Davarr Avenue,0,0
700000002416,Dundonald High School,0,0
700000002417,Carrowreagh Road,0,0
700000015874,Old Mill Grove,0,0
700000015875,Old Mill Dale,0,0
700000017428,Coopers Mill Row,0,0
700000017429,Coopers Mill Park,0,0
700000017505,Unknown,0,0
700000017430,Millmount Road,0,0
700000016165,Millmount Terminus,0,0
700000016142,Millmount Village,0,0
700000017431,Millmount Road,0,0
700000017526,Unknown,0,0
700000017432,Coopers Mill Park,0,0
700000015876,Coopers Mill Park,0,0
700000015877,Old Mill Park,0,0
700000015878,Old Mill Dale,0,0
700000015879,Old Mill Close,0,0
700000002425,Quarry Inn,0,0
700000002426,Carrowreagh Road,0,0
700000002427,Dundonald High School,0,0
700000001707,Robbs Road,0,0
700000001691,Drumadoon Drive,0,0
700000017477,Drumadoon Drive,0,0
700000000768,The Flats,0,0
700000000501,Mount Conference Centre,0,0
700000000503,Woodstock Link,0,0
700000000775,Pottinger Street,0,0
700000000777,Calvin Street,0,0
700000000779,Trillick Street,0,0
700000000781,Avoniel Road,0,0
700000000783,Elmgrove,0,0
700000000785,Bloomfield Mill,0,0
700000000787,St Donards,0,0
700000000789,Lichfield Avenue,0,0
700000000791,Bloomfield,0,0
700000000793,North Road,0,0
700000000877,North Road (Upper Newtownards Road),0,0
700000001823,Ballyhackamore,0,0
700000000895,Greenwood Park,0,0
700000000899,Knock Road (Upper Newtownards Road),0,0
700000001839,Knockdene,0,0
700000001714,Towell House,0,0
700000001715,Barnett's Road,0,0
700000001716,Kings Square,0,0
700000001717,Abbey Road,0,0
700000014513,Kingsway Park,0,0
700000014514,Kilmory Gardens,0,0
700000014515,Melfort Drive,0,0
700000014605,Leven Drive,0,0
700000014521,Leven Close,0,0
700000014522,Lochinver Drive,0,0
700000014523,Lothian Avenue,0,0
700000014517,Lowland Avenue,0,0
700000001719,Tullycarnet Church,0,0
700000001720,Dundonald Ice Bowl,0,0
700000014701,East Link Road (Hanwood Ave),0,0
700000014702,East Link Road,0,0
700000001726,Galway Drive,0,0
